Relative Humidity,Air Temperature,Atmospheric Pressure,Wind Speed,Wind Direction,Power Supply to AWS,Internal Temperature,Dew Point,Time
55.42,16.78,1034.31,13.49,174.42,17.58,23.43,18.17,2024-07-11 17:03:37
58.11,28.48,959.41,0.92,327.12,13.27,24.84,11.41,2024-07-11 17:04:37
52.89,27.77,1008.14,3.97,275.73,14.74,17.61,18.16,2024-07-11 17:05:37
93.88,28.42,950.88,10.84,182.56,15.05,20.35,13.14,2024-07-11 17:06:37
82.35,16.56,979.02,13.47,307.09,10.33,18.71,12.04,2024-07-11 17:07:37
63.01,27.3,961.7,0.03,38.77,12.66,22.6,10.08,2024-07-11 17:08:37
58.65,28.29,1038.29,8.55,148.16,10.43,23.25,14.09,2024-07-11 17:09:37
73.13,22.0,989.81,7.66,251.6,17.92,21.02,16.08,2024-07-11 17:10:37
95.16,20.99,1049.72,11.12,326.94,17.39,16.95,19.21,2024-07-11 17:11:37
79.94,29.06,1014.58,7.8,318.71,15.24,24.32,15.51,2024-07-11 17:12:37
90.69,25.62,989.94,9.16,21.47,18.35,17.13,14.29,2024-07-11 17:13:37
99.0,26.05,968.72,9.4,193.99,11.36,18.63,17.08,2024-07-11 17:14:37
87.26,20.98,953.46,2.16,57.03,19.2,18.52,15.95,2024-07-11 17:15:37
67.55,26.8,993.9,12.93,44.33,17.52,19.08,15.72,2024-07-11 17:16:37
66.36,24.96,956.66,3.61,245.62,11.17,24.29,17.71,2024-07-11 17:17:37
89.6,24.27,1003.44,3.02,51.08,10.21,21.23,18.29,2024-07-11 17:18:37
52.92,18.21,960.22,4.81,61.42,17.46,18.64,14.23,2024-07-11 17:19:37
60.96,22.49,991.03,2.29,293.29,16.45,18.2,12.87,2024-07-11 17:20:37
55.46,24.28,962.5,0.24,303.1,15.35,20.86,10.31,2024-07-11 17:21:37
86.16,23.01,996.68,7.47,199.93,16.64,21.71,14.51,2024-07-11 17:22:37
68.87,17.23,1011.03,2.3,80.16,14.01,19.05,18.66,2024-07-11 17:23:37
54.84,26.17,975.54,7.29,103.11,15.38,20.63,13.84,2024-07-11 17:24:37
64.08,21.13,1013.56,0.98,201.79,18.3,20.0,19.21,2024-07-11 17:25:37
55.59,21.74,1025.22,7.98,111.8,18.45,22.78,17.34,2024-07-11 17:26:37
83.8,25.29,1014.33,2.27,353.81,19.4,20.21,14.37,2024-07-11 17:27:37
92.21,29.06,968.8,4.72,46.96,12.77,22.07,16.66,2024-07-11 17:28:37
59.24,15.05,981.81,3.37,355.74,11.34,23.58,17.16,2024-07-11 17:29:37
64.2,18.25,1027.76,9.7,50.5,10.23,24.02,11.61,2024-07-11 17:30:37
58.05,16.59,1020.4,6.44,243.94,18.36,24.21,19.99,2024-07-11 17:31:37
77.28,24.26,969.42,10.54,98.89,14.05,22.62,18.83,2024-07-11 17:32:37
